ID,Node ID,Name,Full Name,Description,HTML URL,Homepage,Clone URL,Git URL,SSH URL,SVN URL,Mirror URL,Stars,Forks,Watchers,Subscribers,Network Count,Open Issues,Size (KB),Language,Topics,Default Branch,Created At,Updated At,Last Push,Private,Is Fork,Archived,Disabled,Has Issues,Has Projects,Has Wiki,Has Pages,Has Downloads,Has Discussions,License Key,License Name,License SPDX ID,License URL,Visibility,Owner ID,Owner Login,Owner Type,Owner Site Admin,Owner URL,Owner Avatar URL,API URL,Contributors URL,Languages URL,Releases URL,Issues URL,Pulls URL,Allow Forking,Is Template,Allow Merge Commit,Allow Squash Merge,Allow Rebase Merge,Allow Auto Merge,Delete Branch on Merge,Score,Crawled At
,,Autocrop-vertical,kamilstanuch/Autocrop-vertical,Smart video converter using YOLOv8 and FFmpeg to convert horizontal video to vertical 9:16 format for social media.,https://github.com/kamilstanuch/Autocrop-vertical,,,,,,,12,2,0,0,0,0,0,Python,"ffmpeg, instagram, social-media, tiktok, video, yolov8",main,2025-08-19T11:33:15Z,2025-08-19T21:50:00Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,kamilstanuch,User,false,https://github.com/kamilstanuch,,,,,,,,false,false,false,false,false,false,false,0,
,,auto-daily-swap-monad-testnet-dex-bean,Kurisaitou/auto-daily-swap-monad-testnet-dex-bean,"Automated token swap bot for monad testnet on Bean Exchange .Randomizes MON ↔ USDC transactions daily to simulate natural on-chain activity. Fully configurable via .env, supports custom delay, transaction limits",https://github.com/Kurisaitou/auto-daily-swap-monad-testnet-dex-bean,https://swap.bean.exchange/swap,,,,,,11,0,0,0,0,0,0,JavaScript,"airdrop, automated, automation, bean-exchange, bot, crypto, dex, monad, monad-testnet, swap, swap-bot, trading, web3",main,2025-08-18T16:12:45Z,2025-08-19T12:41:38Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,Kurisaitou,User,false,https://github.com/Kurisaitou,,,,,,,,false,false,false,false,false,false,false,0,
,,hackmyvm-cli,Yanxinwu946/hackmyvm-cli,"A command-line tool for interacting with HackMyVM, supporting machine listing, downloading, and flag submission with session persistence.",https://github.com/Yanxinwu946/hackmyvm-cli,,,,,,,11,0,0,0,0,0,0,Python,,main,2025-08-19T05:43:51Z,2025-08-19T17:23:36Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,Yanxinwu946,User,false,https://github.com/Yanxinwu946,,,,,,,,false,false,false,false,false,false,false,0,
,,kube-coder,imran31415/kube-coder,helm chart for a isolated dev coding environment pod in kubernetes,https://github.com/imran31415/kube-coder,,,,,,,11,0,0,0,0,0,0,Shell,,main,2025-08-18T21:02:51Z,2025-08-19T19:33:04Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,imran31415,User,false,https://github.com/imran31415,,,,,,,,false,false,false,false,false,false,false,0,
,,crypto_coin_info,bitwaitcom/crypto_coin_info,原创）区块链指南-全网最全-币圈区块链各类常用工具与相关信息资料大全-虚拟加密货币-欧易OKX币安Binace芝麻开门Gate-App注册-NFT-Defi-加密钱包-比特币-新手入门教程 -持续更新,https://github.com/bitwaitcom/crypto_coin_info,,,,,,,11,0,0,0,0,0,0,,,main,2025-08-19T01:07:51Z,2025-08-19T22:25:02Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,bitwaitcom,User,false,https://github.com/bitwaitcom,,,,,,,,false,false,false,false,false,false,false,0,
,,LilCTF-2025,Lil-House/LilCTF-2025,"LilCTF 2025 challenges, source code, official writeups, and players' writeups.",https://github.com/Lil-House/LilCTF-2025,,,,,,,11,5,0,0,0,0,0,Python,,main,2025-08-18T15:55:11Z,2025-08-19T16:30:51Z,,false,false,false,false,false,false,false,false,false,false,other,Other,NOASSERTION,,,,Lil-House,Organization,false,https://github.com/Lil-House,,,,,,,,false,false,false,false,false,false,false,0,
,,clean-af,zacksmash/clean-af,Laravel Starter Kit that's clean af 🧼,https://github.com/zacksmash/clean-af,,,,,,,11,2,0,0,0,0,0,Vue,,main,2025-08-18T00:27:21Z,2025-08-19T23:03:50Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,zacksmash,User,false,https://github.com/zacksmash,,,,,,,,false,false,false,false,false,false,false,0,
,,auto-daily-bridge-tTrust-on-Intuition,Kurisaitou/auto-daily-bridge-tTrust-on-Intuition,"Automated bridge bot for tTrust to base sepolia. Simulate natural on-chain activity. Fully configurable via .env, supports custom delay, transaction limits",https://github.com/Kurisaitou/auto-daily-bridge-tTrust-on-Intuition,https://portal.intuition.systems/,,,,,,10,0,0,0,0,0,0,JavaScript,"airdrop, automation, bot, bridge, caldera, crypto, dex, intuition, swap, trading, ttrust, web3",main,2025-08-19T19:31:09Z,2025-08-19T19:52:14Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,Kurisaitou,User,false,https://github.com/Kurisaitou,,,,,,,,false,false,false,false,false,false,false,0,
,,ai-powered-apps-course,mosh-hamedani/ai-powered-apps-course,The complete source code for the course Build AI-Powered Apps.,https://github.com/mosh-hamedani/ai-powered-apps-course,,,,,,,10,1,0,0,0,0,0,TypeScript,,main,2025-08-18T21:38:51Z,2025-08-19T21:15:18Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,mosh-hamedani,User,false,https://github.com/mosh-hamedani,,,,,,,,false,false,false,false,false,false,false,0,
,,genAI-2025-llms-meet-shiny,gadenbuie/genAI-2025-llms-meet-shiny,genAI 2025: Using LLMs in Shiny,https://github.com/gadenbuie/genAI-2025-llms-meet-shiny,http://pkg.garrickadenbuie.com/genAI-2025-llms-meet-shiny/,,,,,,10,0,0,0,0,0,0,R,,main,2025-08-19T13:38:55Z,2025-08-19T18:58:08Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,gadenbuie,User,false,https://github.com/gadenbuie,,,,,,,,false,false,false,false,false,false,false,0,
,,superagent,lanyado/superagent,,https://github.com/lanyado/superagent,,,,,,,10,1,0,0,0,0,0,TypeScript,,main,2025-08-18T13:08:09Z,2025-08-19T14:40:37Z,,false,false,false,false,false,false,false,false,false,false,other,Other,NOASSERTION,,,,lanyado,User,false,https://github.com/lanyado,,,,,,,,false,false,false,false,false,false,false,0,
,,audiototxt,fangyuan99/audiototxt,A python script based on gemini and yt-dlp can extract text scripts of local audio or online video. 一个基于 gemini 和 yt-dlp 的 python 脚本，可以提取本地音频或者在线视频的文字稿。,https://github.com/fangyuan99/audiototxt,,,,,,,10,2,0,0,0,0,0,Python,,main,2025-08-18T12:34:23Z,2025-08-19T16:11:07Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,fangyuan99,User,false,https://github.com/fangyuan99,,,,,,,,false,false,false,false,false,false,false,0,
,,BioAgents,bio-xyz/BioAgents,Agentic framework for scientific research and analysis.,https://github.com/bio-xyz/BioAgents,,,,,,,10,1,0,0,0,0,0,TypeScript,,main,2025-08-18T13:25:53Z,2025-08-19T13:17:19Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,bio-xyz,Organization,false,https://github.com/bio-xyz,,,,,,,,false,false,false,false,false,false,false,0,
,,streamlit_bodylog,Darkqurk/streamlit_bodylog,,https://github.com/Darkqurk/streamlit_bodylog,,,,,,,10,1,0,0,0,0,0,Python,,main,2025-08-18T03:17:45Z,2025-08-18T07:41:45Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,Darkqurk,User,false,https://github.com/Darkqurk,,,,,,,,false,false,false,false,false,false,false,0,
,,auto-swap-prjx-on-hyperEVM,Kurisaitou/auto-swap-prjx-on-hyperEVM,"A fully automated bot to farm prjx (Project X) airdrop on hyperEVM. It performs randomized token swaps (HYPE to USDT0 or USDT0 to HYPE) handles ERC-20 allowances, and pushes daily swap activity to simulate human behavior—ideal for maximizing point airdrop.",https://github.com/Kurisaitou/auto-swap-prjx-on-hyperEVM,https://www.prjx.com/portfolio,,,,,,10,0,0,0,0,0,0,JavaScript,"airdrop, automation, bot, crypto, dex, hype, hyperevm, prjx, project-x, stake, swap, trading, web3",main,2025-08-19T06:28:52Z,2025-08-19T06:53:21Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,Kurisaitou,User,false,https://github.com/Kurisaitou,,,,,,,,false,false,false,false,false,false,false,0,
,,GenoViewPython,orangeduck/GenoViewPython,An example raylib python application for viewing animation on the Geno character,https://github.com/orangeduck/GenoViewPython,,,,,,,10,0,0,0,0,0,0,Python,,main,2025-08-19T01:53:05Z,2025-08-19T16:04:35Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,orangeduck,User,false,https://github.com/orangeduck,,,,,,,,false,false,false,false,false,false,false,0,
,,gonzo,control-theory/gonzo,Gonzo! The Go based TUI log analysis tool,https://github.com/control-theory/gonzo,https://gonzo.controltheory.com,,,,,,10,0,0,0,0,0,0,Go,"ai, golang, logs, ollama, openai, opentelemetry, otel, otlp, terminal, tui",main,2025-08-18T18:21:51Z,2025-08-19T19:30:27Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,control-theory,Organization,false,https://github.com/control-theory,,,,,,,,false,false,false,false,false,false,false,0,
,,scriptCTF2025-OfficialWriteups,scriptCTF/scriptCTF2025-OfficialWriteups,Official Writeups for scriptCTF 2025,https://github.com/scriptCTF/scriptCTF2025-OfficialWriteups,,,,,,,10,2,0,0,0,0,0,C,,main,2025-08-18T00:24:33Z,2025-08-19T17:48:27Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,scriptCTF,Organization,false,https://github.com/scriptCTF,,,,,,,,false,false,false,false,false,false,false,0,
